key,time,all_swamps___alg_sample,all_swamps___total_rabbits,all_swamps___total_rabbits_per_wolves,all_swamps___total_wolves,blue_swamp___rabbits,blue_swamp___rabbits_per_wolves,blue_swamp___wolves,green_swamp___rabbits,green_swamp___rabbits_per_wolves,green_swamp___wolves,ratio
0-0,0,15,400,5.7142857143,70,300,30,10,100,1.6666666667,60,5.7142857143
0-0,1,15,397.4883598646,6.7294264702,59.0671971262,386.6235431302,39.7887821774,9.7168981299,10.8648167344,0.2201570599,49.3502989964,6.7294264702
0-0,2,15,501.5903198269,9.9557163815,50.3821423397,499.5627829056,50.3274346953,9.9262516743,2.0275369213,0.0501172237,40.4558906654,9.9557163815
0-0,3,15,627.9099889693,14.2934134968,43.9300233713,627.3185503687,58.2006697981,10.7785452048,0.5914386006,0.0178404896,33.1514781665,14.2934134968
0-0,4,15,735.5590484201,18.5731292811,39.6033989367,735.3101744418,59.1108096843,12.4395212715,0.2488739783,0.0091619459,27.1638776652,18.5731292811
0-0,5,15,768.3644982346,20.6752171931,37.1635514664,768.2230885247,51.5368854028,14.9062769805,0.14140971,0.0063534154,22.257274486,20.6752171931
0-0,6,15,691.9339772864,19.2695750789,35.908107701,691.8312155621,39.1500333729,17.671280353,0.1027617243,0.0056348466,18.236827348,19.2695750789
0-0,7,15,542.5711266211,15.6431007402,34.684372084,542.479768244,27.4787493526,19.7417925133,0.0913583772,0.0061139629,14.9425795707,15.6431007402
0-0,8,15,393.8385924922,12.0591223714,32.6589763634,393.7427819052,19.2863825862,20.4155849417,0.095810587,0.0078254941,12.2433914218,12.0591223714
0-0,9,15,286.08468782,9.5938433611,29.8196121255,285.9696436359,14.4517992018,19.7878229307,0.1150441841,0.0114679627,10.0317891948,9.5938433611
0-0,10,15,220.4748521542,8.2908765222,26.5924660153,220.3205094984,11.99169385,18.3727596997,0.1543426558,0.0187771497,8.2197063157,8.2908765222
0-0,11,15,185.720412122,7.9440106949,23.3786709578,185.4936484074,11.1449853696,16.6436870266,0.2267637147,0.0336695257,6.7349839312,7.9440106949
0-0,12,15,172.443460477,8.445024499,20.4195334777,172.0845391406,11.5484978396,14.9010322841,0.3589213364,0.065039641,5.5185011936,8.445024499
0-0,13,15,175.7689285806,9.8581254807,17.8298530411,175.1650930935,13.1623616698,13.3080291735,0.6038354871,0.1335380379,4.5218238676,9.8581254807
